exchangedate,r030,cc,txt,enname,rate,units,rate_per_unit,group,calcdate
01.01.2021,36,AUD,Австралійський долар,Australian Dollar,21.685200000000002,1,21.685200000000002,1,30.12.2020
01.01.2021,124,CAD,Канадський долар,Canadian Dollar,22.1154,1,22.1154,1,30.12.2020
01.01.2021,156,CNY,Юань Женьміньбі,Yuan Renminbi ,4.3333,1,4.3333,1,30.12.2020
01.01.2021,191,HRK,Куна,Kuna,4.6037,1,4.6037,1,30.12.2020
01.01.2021,203,CZK,Чеська крона,Czech Koruna,1.3238,1,1.3238,1,30.12.2020
01.01.2021,208,DKK,Данська крона,Danish Krone,4.67,1,4.67,1,30.12.2020
01.01.2021,344,HKD,Гонконгівський долар,Hong Kong Dollar,3.6471999999999998,1,3.6471999999999998,1,30.12.2020
01.01.2021,348,HUF,Форинт,Forint,9.5181,100,0.095181,1,30.12.2020
01.01.2021,356,INR,Індійська рупія,Indian Rupee,3.857,10,0.38570000000000004,1,30.12.2020
01.01.2021,360,IDR,Рупія,Rupiah,2.0119,1000,0.0020119,1,30.12.2020
01.01.2021,376,ILS,Новий ізраїльський шекель,New Israeli Sheqel,8.8113,1,8.8113,1,30.12.2020
01.01.2021,392,JPY,Єна,Yen,2.7444,10,0.27444,1,30.12.2020
01.01.2021,398,KZT,Теньге,Tenge,6.7124,100,0.067124,1,30.12.2020
01.01.2021,410,KRW,Вона,Won,2.6015,100,0.026015,1,30.12.2020
01.01.2021,484,MXN,Мексиканське песо,Mexican Peso,1.4247,1,1.4247,1,30.12.2020
01.01.2021,498,MDL,Молдовський лей,Moldovan Leu,1.6413,1,1.6413,1,30.12.2020
01.01.2021,554,NZD,Новозеландський долар,New Zealand Dollar,20.3506,1,20.3506,1,30.12.2020
01.01.2021,578,NOK,Норвезька крона,Norwegian Krone,3.2957,1,3.2957,1,30.12.2020
01.01.2021,643,RUB,Російський рубль,Russian Ruble,3.7823,10,0.37823,1,30.12.2020
01.01.2021,682,SAR,Саудівський ріял,Saudi Riyal,7.5359,1,7.5359,1,30.12.2020
01.01.2021,702,SGD,Сінгапурський долар,Singapore Dollar,21.3651,1,21.3651,1,30.12.2020
01.01.2021,710,ZAR,Ренд,Rand,1.9284,1,1.9284,1,30.12.2020
01.01.2021,752,SEK,Шведська крона,Swedish Krona,3.453,1,3.453,1,30.12.2020
01.01.2021,756,CHF,Швейцарський франк,Swiss Franc,32.0156,1,32.0156,1,30.12.2020
01.01.2021,818,EGP,Єгипетський фунт,Egyptian Pound,1.7956,1,1.7956,1,30.12.2020
01.01.2021,826,GBP,Фунт стерлінгів,Pound Sterling,38.4393,1,38.4393,1,30.12.2020
01.01.2021,840,USD,Долар США,US Dollar,28.2746,1,28.2746,1,30.12.2020
01.01.2021,933,BYN,Білоруський рубль,Belarusian Ruble,10.9477,1,10.9477,1,30.12.2020
01.01.2021,944,AZN,Азербайджанський манат,Azerbaijan Manat,16.6439,1,16.6439,1,30.12.2020
01.01.2021,946,RON,Румунський лей,Romanian Leu,7.1366,1,7.1366,1,30.12.2020
01.01.2021,949,TRY,Турецька ліра,Turkish Lira,3.8448,1,3.8448,1,30.12.2020
01.01.2021,960,XDR,СПЗ (спеціальні права запозичення),SDR (Special Drawing Right),40.8829,1,40.8829,1,30.12.2020
01.01.2021,975,BGN,Болгарський лев,Bulgarian Lev,17.7571,1,17.7571,1,30.12.2020
01.01.2021,978,EUR,Євро,Euro,34.7396,1,34.7396,1,30.12.2020
01.01.2021,985,PLN,Злотий,Zloty,7.6348,1,7.6348,1,30.12.2020
01.01.2021,12,DZD,Алжирський динар,Algerian Dinar,2.1416,10,0.21416000000000002,2,30.12.2020
01.01.2021,50,BDT,Така,Taka,3.3343,10,0.33343,2,30.12.2020
01.01.2021,51,AMD,Вірменський драм,Armenian Dram,5.4105,100,0.054105,2,30.12.2020
01.01.2021,364,IRR,Іранський ріал,Iranian Rial,6.732,10000,0.0006732,2,30.12.2020
01.01.2021,368,IQD,Іракський динар,Iraqi Dinar,1.9366,100,0.019365999999999998,2,30.12.2020
01.01.2021,417,KGS,Сом,Som,3.421,10,0.3421,2,30.12.2020
01.01.2021,422,LBP,Ліванський фунт,Lebanese Pound,1.8756,100,0.018756,2,30.12.2020
01.01.2021,434,LYD,Лівійський динар,Libyan Dinar,21.1383,1,21.1383,2,30.12.2020
01.01.2021,458,MYR,Малайзійський ринггіт,Malaysian Ringgit,7.0047,1,7.0047,2,30.12.2020
01.01.2021,504,MAD,Марокканський дирхам,Moroccan Dirham,3.1763,1,3.1763,2,30.12.2020
01.01.2021,704,VND,Донг,Dong,1.2244,1000,0.0012243999999999998,2,30.12.2020
01.01.2021,764,THB,Бат,Baht,9.445,10,0.9445,2,30.12.2020
01.01.2021,784,AED,Дирхам ОАЕ,UAE Dirham,7.698,1,7.698,2,30.12.2020
01.01.2021,788,TND,Туніський динар,Tunisian Dinar,10.5192,1,10.5192,2,30.12.2020
01.01.2021,860,UZS,Узбецький сум,Uzbekistan Sum,2.6988000000000003,1000,0.0026988,2,30.12.2020
01.01.2021,901,TWD,Новий тайванський долар,New Taiwan Dollar,10.06,10,1.006,2,30.12.2020
01.01.2021,934,TMT,Туркменський новий манат,Turkmenistan New Manat,8.0785,1,8.0785,2,30.12.2020
01.01.2021,936,GHS,Ганське седі,Ghana Cedi,4.8198,1,4.8198,2,30.12.2020
01.01.2021,941,RSD,Сербський динар,Serbian Dinar,2.9536,10,0.29536,2,30.12.2020
01.01.2021,972,TJS,Сомоні,Somoni,2.5022,1,2.5022,2,30.12.2020
01.01.2021,981,GEL,Ларі,Lari,8.6366,1,8.6366,2,30.12.2020
01.01.2021,986,BRL,Бразильський реал,Brazilian Real,5.4505,1,5.4505,2,30.12.2020
01.01.2021,959,XAU,Золото,Gold,53200.92,1,53200.92,3,30.12.2020
01.01.2021,961,XAG,Срібло,Silver,744.19,1,744.19,3,30.12.2020
01.01.2021,962,XPT,Платина,Platinum,30203.49,1,30203.49,3,30.12.2020
01.01.2021,964,XPD,Паладій,Palladium,66289.52,1,66289.52,3,30.12.2020
02.01.2021,36,AUD,Австралійський долар,Australian Dollar,21.685200000000002,1,21.685200000000002,1,30.12.2020
02.01.2021,124,CAD,Канадський долар,Canadian Dollar,22.1154,1,22.1154,1,30.12.2020
02.01.2021,156,CNY,Юань Женьміньбі,Yuan Renminbi ,4.3333,1,4.3333,1,30.12.2020
02.01.2021,191,HRK,Куна,Kuna,4.6037,1,4.6037,1,30.12.2020
02.01.2021,203,CZK,Чеська крона,Czech Koruna,1.3238,1,1.3238,1,30.12.2020
02.01.2021,208,DKK,Данська крона,Danish Krone,4.67,1,4.67,1,30.12.2020
02.01.2021,344,HKD,Гонконгівський долар,Hong Kong Dollar,3.6471999999999998,1,3.6471999999999998,1,30.12.2020
02.01.2021,348,HUF,Форинт,Forint,9.5181,100,0.095181,1,30.12.2020
02.01.2021,356,INR,Індійська рупія,Indian Rupee,3.857,10,0.38570000000000004,1,30.12.2020
02.01.2021,360,IDR,Рупія,Rupiah,2.0119,1000,0.0020119,1,30.12.2020
02.01.2021,376,ILS,Новий ізраїльський шекель,New Israeli Sheqel,8.8113,1,8.8113,1,30.12.2020
02.01.2021,392,JPY,Єна,Yen,2.7444,10,0.27444,1,30.12.2020
02.01.2021,398,KZT,Теньге,Tenge,6.7124,100,0.067124,1,30.12.2020
02.01.2021,410,KRW,Вона,Won,2.6015,100,0.026015,1,30.12.2020
02.01.2021,484,MXN,Мексиканське песо,Mexican Peso,1.4247,1,1.4247,1,30.12.2020
02.01.2021,498,MDL,Молдовський лей,Moldovan Leu,1.6413,1,1.6413,1,30.12.2020
02.01.2021,554,NZD,Новозеландський долар,New Zealand Dollar,20.3506,1,20.3506,1,30.12.2020
02.01.2021,578,NOK,Норвезька крона,Norwegian Krone,3.2957,1,3.2957,1,30.12.2020
02.01.2021,643,RUB,Російський рубль,Russian Ruble,3.7823,10,0.37823,1,30.12.2020
02.01.2021,682,SAR,Саудівський ріял,Saudi Riyal,7.5359,1,7.5359,1,30.12.2020
02.01.2021,702,SGD,Сінгапурський долар,Singapore Dollar,21.3651,1,21.3651,1,30.12.2020
02.01.2021,710,ZAR,Ренд,Rand,1.9284,1,1.9284,1,30.12.2020
02.01.2021,752,SEK,Шведська крона,Swedish Krona,3.453,1,3.453,1,30.12.2020
02.01.2021,756,CHF,Швейцарський франк,Swiss Franc,32.0156,1,32.0156,1,30.12.2020
02.01.2021,818,EGP,Єгипетський фунт,Egyptian Pound,1.7956,1,1.7956,1,30.12.2020
02.01.2021,826,GBP,Фунт стерлінгів,Pound Sterling,38.4393,1,38.4393,1,30.12.2020
02.01.2021,840,USD,Долар США,US Dollar,28.2746,1,28.2746,1,30.12.2020
02.01.2021,933,BYN,Білоруський рубль,Belarusian Ruble,10.9477,1,10.9477,1,30.12.2020
02.01.2021,944,AZN,Азербайджанський манат,Azerbaijan Manat,16.6439,1,16.6439,1,30.12.2020
02.01.2021,946,RON,Румунський лей,Romanian Leu,7.1366,1,7.1366,1,30.12.2020
02.01.2021,949,TRY,Турецька ліра,Turkish Lira,3.8448,1,3.8448,1,30.12.2020
02.01.2021,960,XDR,СПЗ (спеціальні права запозичення),SDR (Special Drawing Right),40.8829,1,40.8829,1,30.12.2020
02.01.2021,975,BGN,Болгарський лев,Bulgarian Lev,17.7571,1,17.7571,1,30.12.2020
02.01.2021,978,EUR,Євро,Euro,34.7396,1,34.7396,1,30.12.2020
02.01.2021,985,PLN,Злотий,Zloty,7.6348,1,7.6348,1,30.12.2020
02.01.2021,12,DZD,Алжирський динар,Algerian Dinar,2.1416,10,0.21416000000000002,2,30.12.2020
02.01.2021,50,BDT,Така,Taka,3.3343,10,0.33343,2,30.12.2020
02.01.2021,51,AMD,Вірменський драм,Armenian Dram,5.4105,100,0.054105,2,30.12.2020
